20330,San Francisco,CA
20288,Sacramento,CA
4172,Colorado Springs,CO
37211,Atlanta,GA
18795,Kansas City,MO
41515,Virginia Beach,VA
18615,Honolulu,HI
53856,Pensacola,FL
6210,Norfolk,VA
38333,El Cajon,CA
19892,Pembroke Pines,FL
25483,Lakeland,FL
32503,Lincoln,NE
3737,Boise,ID
31614,Fort Myers,FL
52893,Laredo,TX
7222,Springfield,MO
44282,Bradenton,FL
53673,Ocala,FL
14634,Whittier,CA
30742,Cape Coral,FL
5399,Kent,WA
32626,Macon,GA
4626,Everett,WA
13234,Pearland,TX
33252,Orange,CA
24457,Durham,NC
51518,Concord,CA
24174,Compton,CA
50763,Arlington,TX
19594,New Orleans,LA
16764,Anaheim,CA
47568,Santa Ana,CA
18170,Fort Wayne,IN
17321,Carrollton,TX
44506,Cedar Rapids,IA
21159,Warren,MI
7386,Temecula,CA
54263,Saginaw,MI
46101,Lake Charles,LA
6155,New Haven,CT
17551,Concord,NC
40760,Santa Fe,NM
7018,Sevierville,TN
17035,Birmingham,MI
28419,Franklin Park,IL
43724,Pinckney,MI
11529,Fredericksburg,VA
26637,Providence,RI
40492,Rancho Cucamonga,CA
26140,Newport News,VA
44734,Conroe,TX
51297,Cary,NC
27110,Simi Valley,CA
11865,Hemet,CA
33024,Nampa,ID
44655,Clovis,CA
50962,Bend,OR
4207,Coralville,IA
14667,Wilmington,DE
32238,Joliet,IL
34303,Toledo,OH
11867,Henderson,NV
23534,Athens,GA
13437,Randolph Township,NJ
39420,Lewisville,TX
11896,High Point,NC
31163,Daly City,CA
19903,Peoria,IL
13709,Sandy Springs,GA
31819,Grand Junction,CO
45383,Gaithersburg,MD
12889,Murphy,NC
13480,Renton,WA
39815,Miramar,FL
24812,Fullerton,CA
25818,McAllen,TX
397836,Middletown Township,NJ
45732,Hesperia,CA
13699,San Mateo,CA
11695,Greeley,CO
32540,Livermore,CA
32777,McDonough,GA
50741,Apopka,FL
37933,Clinton,MI
40574,Rio Rancho,NM
42766,Rhinelander,WI
24043,Charlotte,NC
41568,Washington,DC
40152,Omaha,NE
30543,Boulder,CO
23862,Bryan,TX
23444,Allen,TX
17309,Carmel,IN
44571,Cheyenne,WY
38968,Herndon,VA
54294,San Angelo,TX
51758,Duluth,MN
17222,Buffalo,NY
46298,Long Beach,CA
26922,Saint Petersburg,FL
10181,Arvada,CO
6790,Riverview,FL
31525,Fall River,MA
38004,Conway,AR
41128,Sumter,SC
12292,Lakewood,CA
54043,Racine,WI
51806,East Orange,NJ
34641,Walterboro,SC
20604,Spokane,WA
41760,Winston-Salem,NC
26575,Pompano Beach,FL
16780,Antioch,CA
26529,Pittsburgh,PA
41176,Tampa,FL
25574,Lexington,KY
27228,Springfield,VA
781837,Jurupa Valley,CA
32572,Lorain,OH
33837,San Gabriel,CA
53643,Novato,CA
18874,La Habra,CA
53694,Okeechobee,FL
55287,Yorktown,VA
54047,Raleigh,NC
20328,San Bernardino,CA
398849,Madison,WI
24117,Cleveland Heights,OH
30953,Clovis,NM
27747,Wallingford,CT
37279,Barnstable,MA
53420,Morristown,NJ
26088,New Bern,NC
53915,Plano,TX
12970,Newark,NJ
13478,Reno,NV
25934,Modesto,CA
17384,Chandler,AZ
53060,Lubbock,TX
34718,Wentzville,MO
39748,Menlo Park,CA
45221,Fairfield,OH
17231,Burke,VA
14527,Weslaco,TX
18298,Glendale,AZ
32900,Mobile,AL
25104,Hialeah,FL
15138,Freeport,NY
27196,Southington,CT
51405,Chula Vista,CA
46904,Opelika,AL
32912,Moline,IL
40387,Poinciana,FL
16699,Alamo,TX
26200,North Tonawanda,NY
5958,Milledgeville,GA
23942,Cape Girardeau,MO
48531,Windsor Mill,MD
40519,Red Wing,MN
396727,Greater Upper Marlboro,MD
11540,Fremont,CA
47584,Savannah,GA
41114,Sugar Land,TX
32168,Irwin,PA
19967,Pittsfield,MA
41669,Westbury,NY
33308,Palmetto,FL
4976,Greeneville,TN
39634,Marion,IN
17163,Brighton,CO
39760,Merritt Island,FL
13181,Papillion,NE
5914,Metairie,LA
24162,Collegeville,PA
26188,North Lauderdale,FL
51386,Chesterfield,MO
21446,Coraopolis,PA
395772,Milton,GA
11561,Gaffney,SC
27812,Weatherford,TX
7330,Surprise,AZ
17070,Bloomington,IN
48293,Waco,TX
31546,Fenton,MO
18942,Lancaster,TX
47021,Paso Robles,CA
30338,Ballwin,MO
13631,Russellville,AR
55142,Westfield,MA
16567,Fitchburg,MA
39405,Leominster,MA
41001,Spanish Fork,UT
46780,North Brunswick Township,NJ
22517,Ocoee,FL
52353,Grovetown,GA
30651,Bullhead City,AZ
20860,Tupelo,MS
6008,Moncks Corner,SC
51882,Ellenwood,GA
41535,Waianae,HI
17931,El Dorado Hills,CA
25879,Middle River,MD
24319,Davenport,FL
33821,Salem,MA
398007,Flint,MI
27239,Stamford,CT
37601,Brookfield,WI
47876,Streamwood,IL
16997,Bessemer,AL
6391,Panama City Beach,FL
53154,Maplewood,MN
41716,Williamstown,NJ
19728,Oakley,CA
6456,Pekin,IL
21272,Wheeling,IL
12700,Miami,FL
33225,Oklahoma City,OK
19331,Mesa,AZ
34278,Thousand Oaks,CA
13713,Santa Clara,CA
31388,Elizabeth,NJ
47956,Teaneck,NJ
39306,La Puente,CA
13578,Rome,NY
21355,Woburn,MA
5317,Jamestown,NY
53642,Nottingham,MD
45470,Golden,CO
20656,Stevens Point,WI
50721,Amherst,MA
51370,Chelsea,MA
19212,Marlborough,MA
12391,Lincolnton,NC
33074,New Hyde Park,NY
15592,Manalapan Township,NJ
18375,Great Neck,NY
13072,Oakland,CA
25090,Henderson,NC
5033,Hallandale,FL
8283,Clinton,MD
25482,Lake Worth,FL
31419,Elmont,NY
396136,Lutherville Timonium,MD
33189,Norwich,CT
